number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
16,0.5133334038906009,2026-08-14 23:53:25.580380,2026-08-14 23:53:30.909154,0 days 00:00:05.328774,0.7781205548006089,0.0019514907651637659,0.1907963839497224,8,1,150,0.001059971131139127,0.5209314402340289,0.7790817164521515,COMPLETE
17,0.5052744231060866,2026-08-14 23:53:30.912675,2026-08-14 23:53:36.274383,0 days 00:00:05.361708,0.7618711241157543,0.2463147133918031,0.18320581927285873,8,1,200,0.0036637915613371972,0.5116688680482168,0.7674774744598848,COMPLETE
18,0.5118486461513446,2026-08-14 23:53:36.277903,2026-08-14 23:53:45.779995,0 days 00:00:09.502092,0.783869057855543,0.010182877308889964,0.1289625066572249,8,5,500,0.010714905297666204,0.458107722443941,0.6063865887426365,COMPLETE
19,0.5049542267094075,2026-08-14 23:53:45.782510,2026-08-14 23:53:51.685561,0 days 00:00:05.903051,0.7640881690357239,0.556565425791456,0.10165025880968996,5,12,500,0.008185990511684782,0.12209958612672088,0.6172803398163924,COMPLETE
20,0.5088691936289064,2026-08-14 23:53:51.687566,2026-08-14 23:53:55.182646,0 days 00:00:03.495080,0.7712760771035541,0.4163098182917957,0.19723447800374214,8,6,150,0.0008444283931448922,0.4943649904083224,0.6014095011450933,COMPLETE
21,0.5095492792462145,2026-08-14 23:53:55.186684,2026-08-14 23:53:58.703797,0 days 00:00:03.517113,0.7826932910986757,0.017194465068506637,0.16845479360157778,8,7,150,0.0005726689291074877,0.4393457643327391,0.6255950887776642,COMPLETE
22,0.5058492299051345,2026-08-14 23:53:58.709130,2026-08-14 23:54:02.332721,0 days 00:00:03.623591,0.7886471741983202,0.03936288495141435,0.13600933048493213,7,9,200,0.0007573993343250519,0.4408307442352511,0.7080175248548899,COMPLETE
23,0.5129013470179853,2026-08-14 23:54:02.335757,2026-08-14 23:54:05.904291,0 days 00:00:03.568534,0.8700097021112048,0.00545648572898344,0.08649704724983429,8,7,150,0.0103801365726505,0.1900549305356492,0.6285667874574572,COMPLETE
24,0.5089320855340658,2026-08-14 23:54:05.906296,2026-08-14 23:54:09.800798,0 days 00:00:03.894502,0.8699359524890529,0.36425748178702877,0.08026019684701025,7,11,200,0.10765898223650265,0.18364151996776698,0.7402375849828094,COMPLETE
25,0.5079311427538941,2026-08-14 23:54:09.804341,2026-08-14 23:54:17.160294,0 days 00:00:07.355953,0.8773785360197152,0.7643422089563348,0.058995051005510966,8,5,300,0.009364766763641449,0.10310448881833381,0.6946902727463712,COMPLETE
