number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
30,0.5357423898645158,2026-08-02 17:32:52.127366,2026-08-02 17:33:00.282073,0 days 00:00:08.154707,0.8107295276820626,1.4027602942237554,0.007003481155694957,7,1,350,0.000376869931808483,4.903302596404193,0.7078571406779994,COMPLETE
31,0.5177560793176038,2026-08-02 17:33:00.286081,2026-08-02 17:33:04.608396,0 days 00:00:04.322315,0.8071487005155096,1.4509849718144698,0.007207581140734966,7,1,300,0.0003381693643520172,5.459707929057988,0.6999862492333337,PRUNED
32,0.5173416563098974,2026-08-02 17:33:04.612403,2026-08-02 17:33:10.257839,0 days 00:00:05.645436,0.8757364593121,1.843409823289999,0.00694421229680077,7,3,450,0.001520792046924901,7.605495648077848,0.6484259438018832,PRUNED
33,0.523005287754436,2026-08-02 17:33:10.260929,2026-08-02 17:33:14.874482,0 days 00:00:04.613553,0.7032233945491565,1.2469499944975344,0.009758942467186824,8,4,350,0.00046735438164935693,5.114179260004023,0.6707781674535579,PRUNED
34,0.5224884674252364,2026-08-02 17:33:14.878488,2026-08-02 17:33:17.671147,0 days 00:00:02.792659,0.8018083755482901,1.472427987262639,0.006569580876847601,6,1,250,0.0034382563301639706,3.1607067726516496,0.7011008756887572,PRUNED
35,0.5173410660183775,2026-08-02 17:33:17.674246,2026-08-02 17:33:20.860046,0 days 00:00:03.185800,0.6960245398039135,0.626554742709993,0.013511370743243566,6,2,300,0.0014002896074463522,4.100009540146869,0.8649243849802012,PRUNED
36,0.5035467879840293,2026-08-02 17:33:20.863057,2026-08-02 17:33:25.869256,0 days 00:00:05.006199,0.6659227165633204,0.01280757489512152,0.18566964683566858,8,3,450,0.00020711213098567724,7.677029111737689,0.6280575828188769,PRUNED
37,0.514765659307889,2026-08-02 17:33:25.872780,2026-08-02 17:33:30.289063,0 days 00:00:04.416283,0.7371465348769203,1.1532036158807217,0.006180712250093054,7,4,350,0.0012940537705517468,1.9764242577802558,0.7356882171757725,PRUNED
38,0.521342068228983,2026-08-02 17:33:30.291517,2026-08-02 17:33:32.080222,0 days 00:00:01.788705,0.6321587089149079,2.4029150488043562,0.009305784966808662,6,2,200,0.0005689889029002492,5.232391978767185,0.8019509295341384,PRUNED
39,0.5188372818580236,2026-08-02 17:33:32.084229,2026-08-02 17:33:35.926561,0 days 00:00:03.842332,0.8297333614102989,0.772571585815629,0.011804552691669593,7,5,350,0.0036245789215353947,1.1149730481227669,0.6528203618154405,PRUNED
40,0.52163662749776,2026-08-02 17:33:35.928304,2026-08-02 17:33:44.768584,0 days 00:00:08.840280,0.6879936413123274,1.9871408738867493,0.007500365506913542,8,1,600,0.011181666524550795,3.457984996867437,0.663613815659247,PRUNED
41,0.5319322693146772,2026-08-02 17:33:44.775817,2026-08-02 17:33:51.419251,0 days 00:00:06.643434,0.6232776817213701,2.811249466517206,0.005865425992360774,6,6,550,0.3762089427763544,2.684395413601967,0.7092411023219469,PRUNED
42,0.5329236096181318,2026-08-02 17:33:51.423258,2026-08-02 17:33:59.814457,0 days 00:00:08.391199,0.6554282571308401,2.7668132269986274,0.0052729187191722674,6,4,550,0.00020306881023944562,5.123453700161271,0.7602487588712125,COMPLETE
43,0.5250655590123205,2026-08-02 17:33:59.816461,2026-08-02 17:34:03.638108,0 days 00:00:03.821647,0.6187253672908091,2.982905780104251,0.00517418809125724,6,6,500,0.04138885443495552,4.526227647419408,0.7261775216955293,PRUNED
44,0.5364915560715092,2026-08-02 17:34:03.642116,2026-08-02 17:34:09.929248,0 days 00:00:06.287132,0.6738095716852754,2.635490852718961,0.006550305318517678,5,3,600,0.72980998624596,6.3792106760871015,0.7105354716078031,COMPLETE
